갑인년 8월 27일 정미년에 사헌부가 아뢰기를, 집의 박재(朴梓)가 인혐하고 물러갔습니다.
이귀의 사람됨과 말이 잘못을 꾸미기에 충분하니, 상소 한 가지 일은 평생 장기(長技)입니다.
남을 역모로 무고하는 상소를 올려, 의려를 오랫동안 제기한다 라는 등의 말로 은연중에 모함하였고 대간이 발론하여 사판(仕版)에서 삭제되기까지 하였습니다.
그런데도 감히 수단을 놀려 교묘하게 꾸며서 상소를 올렸으니, 많은 사람의 눈을 가리기 어렵고 사람을 속일 수 있겠습니까.
박재(朴榟)에게 나아가소서 배소(配所)에 있는 박재(朴梓)이다 출사하도록 하라.
그대로 따랐다.
갑인년 8월 27일 정미년에 사헌부가 아뢰기를, 집의 박재(朴梓)가 인혐하고 물러갔습니다.
이귀의 사람됨과 말이 잘못을 꾸미기에 충분하니, 상소 한 가지 일은 평생 장기(長技)입니다.
남을 역모로 무고하는 상소를 올려, 의려를 오랫동안 제기한다 라는 등의 말로 은연중에 모함하였고 대간이 발론하여 사판(仕版)에서 삭제되기까지 하였습니다.
그런데도 감히 수단을 놀려 교묘하게 꾸며서 상소를 올렸으니, 많은 사람의 눈을 가리기 어렵고 사람을 속일 수 있겠습니까.
박재(朴榟)에게 나아가소서 배소(配所)에 있는 박재(朴梓)이다 출사하도록 하라.
그대로 따랐다.
